Dish Name,State/Region,Category,Diet,Description,Ingredients (Key),Typical Serving Size,KCAL,PROTEIN (g),CARBS (g),FAT (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Ingredients (Full List),Ingredients with Ayurvedic Notes
Sattu drink,Bihar,Beverage (Juice/Cooler),Veg,A vegetarian beverage from Bihar.,Roasted Gram Flour (Sattu),,23.38,0.56,5.16,0.14,3.96,0.4,12.65,1.59,0.17,0.0,25.48,"Roasted Gram Flour (Sattu), Water, Sugar, Ice","Roasted Gram Flour (Sattu) (Laghu, light, balances Kapha); Water (Balances doshas when eaten fresh and in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ice (Balances doshas when eaten fresh and in moderation)"
Almond biscuit (Badam ke biscuit),Continental/Global Cuisine,Bakery (Cookie/Biscuit),Veg,A vegetarian bakery typically made with almond.,Almond,,407.74,6.25,52.14,19.7,22.19,1.5,151.76,44.05,1.11,0.03,2.28,"Almond, Refined Flour (Maida), Butter, Sugar, Baking Powder, Egg","Almond (Guru, Snigdha, nourishing for Vata); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Butter (Snigdha, unctuous, balances Vata); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Baking Powder (Neutral, leavening agent); Egg (Guru, Ushna, builds strength, use moderately for Pitta)"
Almond cardamom cake (Badam elaichi cake),Continental/Global Cuisine,Bakery (Cake/Pastry),Veg,A vegetarian bakery typically made with almond.,Almond,,356.35,7.18,34.53,21.36,18.06,2.35,155.37,81.29,1.29,0.37,10.86,"Almond, Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Almond (Guru, Snigdha, nourishing for Vata); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Almond soup (Badam ka soup),Continental/Global Cuisine,Soup,Veg,A vegetarian soup typically made with almond.,Almond,,78.65,10.13,3.68,13.8,1.94,0.91,8376.94,114.95,2.83,7.68,38.67,"Almond, Stock/Water, Onion, Salt, Pepper, Butter/Oil","Almond (Guru, Snigdha, nourishing for Vata); Stock/Water (Guru, Ushna, deeply nourishing); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Butter/Oil (Snigdha, unctuous, balances Vata)"
American frosting,Continental/Global Cuisine,Bakery (Icing/Topping),Veg,A vegetarian bakery.,Icing Sugar,,257.57,1.05,67.48,0.01,67.46,0.0,19.33,7.05,0.14,,,"Icing Sugar, Butter, Water","Icing Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Water (Balances doshas when eaten fresh and in moderation)"
Apple banana pie,Continental/Global Cuisine,Bakery (Cake/Pastry),Veg,"A vegetarian bakery typically made with banana, apple.","Banana, Apple",,243.99,3.13,32.12,11.39,12.96,1.89,384.43,21.23,0.79,8.88,31.98,"Banana, Apple, Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Banana (Guru, Shita, grounding); Apple (Laghu, Shita, cooling and light); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Apple cake (Seb ka cake),Continental/Global Cuisine,Bakery (Cake/Pastry),Veg,A vegetarian bakery typically made with apple.,Apple,,290.08,4.94,39.48,12.87,23.52,1.22,136.95,38.99,0.9,1.16,9.32,"Apple, Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Apple (Laghu, Shita, cooling and light); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Apple cinnamon pie,Continental/Global Cuisine,Bakery (Cake/Pastry),Veg,A vegetarian bakery typically made with apple.,Apple,,258.73,3.35,33.68,12.21,11.95,1.77,60.14,16.14,0.65,2.24,11.58,"Apple, Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Apple (Laghu, Shita, cooling and light); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Apple mousse,Continental/Global Cuisine,Dessert (Souffle/Custard/Pudding),Veg,A vegetarian dessert typically made with apple.,Apple,,106.92,4.21,12.77,4.27,10.56,1.6,28.79,33.76,0.48,14.48,35.22,"Apple, Milk, Sugar, Egg, Cornflour","Apple (Laghu, Shita, cooling and light); Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Cornflour (Balances doshas when eaten fresh and in moderation)"
Bacon and mushroom pancake,Continental/Global Cuisine,Breakfast/Tiffin (Pancake),Non-Veg,A non-vegetarian breakfast/tiffin typically made with mushroom.,Mushroom,,157.67,6.82,8.47,10.6,1.23,1.59,344.23,44.74,0.54,1.91,14.58,"Mushroom, Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Mushroom (Balances doshas when eaten fresh and in moderation); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
