body_frame,walk_and_talk,weather_reaction,sweating,appetite,skin,hair,lips_and_teeth,eyes,general_signs,memory,mind,mind_on_actions,sleep_quality,emotional_nature,target_dosha
kapha,vata,pitta,pitta,pitta,vata,pitta,pitta,pitta,pitta,pitta,kapha,pitta,pitta,pitta,Pitta
pitta,pitta,pitta,pitta,pitta,pitta,pitta,pitta,pitta,pitta,pitta,pitta,vata,pitta,pitta,Pitta
pitta,pitta,pitta,pitta,pitta,vata,kapha,pitta,pitta,pitta,pitta,pitta,pitta,pitta,pitta,Pitta
vata,kapha,vata,vata,vata,pitta,vata,vata,pitta,vata,vata,vata,pitta,vata,vata,Vata
pitta,pitta,pitta,pitta,vata,pitta,pitta,pitta,pitta,pitta,pitta,pitta,pitta,pitta,pitta,Pitta
pitta,pitta,vata,pitta,pitta,vata,pitta,pitta,kapha,pitta,pitta,pitta,pitta,pitta,pitta,Pitta
pitta,vata,vata,vata,kapha,kapha,vata,kapha,vata,vata,vata,vata,vata,pitta,vata,Vata
pitta,vata,pitta,pitta,pitta,pitta,pitta,pitta,vata,kapha,pitta,pitta,pitta,pitta,pitta,Pitta
kapha,vata,vata,vata,vata,vata,vata,vata,pitta,vata,vata,vata,vata,vata,vata,Vata
pitta,pitta,pitta,pitta,pitta,pitta,kapha,pitta,pitta,pitta,pitta,pitta,pitta,pitta,pitta,Pitta
vata,vata,pitta,vata,vata,vata,kapha,vata,vata,vata,vata,vata,vata,vata,vata,Vata
pitta,pitta,vata,vata,vata,vata,vata,vata,vata,vata,vata,kapha,vata,kapha,vata,Vata
vata,pitta,pitta,vata,vata,vata,vata,kapha,vata,vata,vata,vata,pitta,vata,vata,Vata
kapha,kapha,kapha,vata,kapha,kapha,kapha,kapha,kapha,kapha,vata,kapha,kapha,kapha,kapha,Kapha
pitta,pitta,pitta,pitta,pitta,pitta,pitta,pitta,pitta,pitta,pitta,pitta,pitta,vata,pitta,Pitta
pitta,pitta,pitta,vata,pitta,pitta,pitta,pitta,pitta,pitta,pitta,pitta,kapha,pitta,pitta,Pitta
pitta,kapha,pitta,vata,pitta,pitta,vata,pitta,pitta,kapha,pitta,pitta,kapha,pitta,kapha,Pitta
pitta,vata,vata,kapha,pitta,vata,vata,kapha,kapha,kapha,kapha,kapha,pitta,kapha,kapha,Kapha
pitta,pitta,kapha,pitta,pitta,vata,pitta,pitta,kapha,pitta,pitta,pitta,pitta,pitta,pitta,Pitta
vata,pitta,vata,pitta,pitta,pitta,pitta,pitta,pitta,vata,pitta,pitta,kapha,pitta,vata,Pitta
pitta,pitta,kapha,pitta,pitta,pitta,pitta,pitta,pitta,pitta,pitta,vata,pitta,pitta,pitta,Pitta
